symbol,timeframe,strategy_id,strategy_name,status,trades,wins,losses,win_rate_pct,net_profit,total_return_pct,profit_factor,expectancy,max_drawdown_pct,sharpe,sortino,bars,error
EURUSD,1d,hidden_rsi_divergence_v2,Hidden RSI Divergence (Trend Continuation),OK,12,4,8,33.33,-48.44,-0.48,0.7780753744983687,-4.04,1.53,-0.356,-0.213,200,
EURUSD,1d,macd_divergence_confluence,MACD Divergence Confluence,OK,5,4,1,80.0,1120.69,11.21,27.499857861188953,224.14,0.88,5.545,8.922,200,
EURUSD,1d,range_position_breakout,Range Position Breakout,OK,8,4,4,50.0,166.7,1.67,2.074502848152924,20.84,0.97,1.149,0.603,200,
EURUSD,1d,elder_ray_supertrend_combo,Elder Ray + SuperTrend Combo,OK,0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,200,
EURUSD,1d,mean_reversion_zscore,Mean Reversion Z-Score Fade,OK,11,0,11,0.0,-794.75,-7.95,0.0,-72.25,7.95,-5.021,-3.777,200,
USDJPY,1h,rsi_reversal,RSI Mean Reversion,OK,14,9,5,64.29,1272.51,12.73,3.409898167013319,90.89,2.5,2.72,3.479,288,
USDJPY,1h,macd_trend,MACD Trend Following,OK,18,4,14,22.22,7.77,0.08,1.00660100004801,0.43,4.06,0.039,0.049,288,
USDJPY,1h,bb_squeeze,Bollinger Band Squeeze,OK,24,19,5,79.17,3854.13,38.54,6.979651670811695,160.59,1.99,5.604,7.478,288,
USDJPY,1h,adx_strength,ADX Strength Entry,OK,12,7,5,58.33,1790.07,17.9,4.8538972935821985,149.17,3.84,3.71,5.659,288,
USDJPY,1h,ichimoku_trend,Ichimoku Cloud Trend,OK,35,12,23,34.29,757.67,7.58,1.3268580506944743,21.65,6.21,1.177,1.81,288,
USDJPY,1h,supertrend_follow,SuperTrend Follow,OK,0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,288,
USDJPY,1h,elder_ray,Elder Ray Power,OK,23,17,6,73.91,3079.87,30.8,8.328900172956612,133.91,2.55,5.364,8.37,288,
USDJPY,1h,choppiness_reversal,Choppiness Reversal,OK,31,26,5,83.87,1843.68,18.44,7.6314120757912,59.47,1.05,5.33,7.307,288,
USDJPY,1h,confluence_8,8-Indicator Confluence,OK,0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,288,
USDJPY,1h,fisher_zscore,Fisher + Z-Score,OK,35,31,4,88.57,2411.93,24.12,14.140733795324994,68.91,0.87,6.666,10.253,288,
USDJPY,1h,volume_breakout,Volume Breakout,OK,5,5,0,100.0,645.41,6.45,,129.08,0.21,3.1,6.368,288,
USDJPY,1h,camarilla_breakout,Camarilla R3/S3 Breakout,OK,31,28,3,90.32,1707.75,17.08,7.328647873478977,55.09,1.0,4.072,3.913,288,
USDJPY,1h,heikin_ashi_trend,Heikin-Ashi Trend Ride,OK,18,13,5,72.22,3096.57,30.97,18.77633356311564,172.03,0.88,7.344,11.15,288,
USDJPY,1h,woodie_pivot_reversal,Woodie Pivot Reversal,OK,32,5,27,15.62,-1257.38,-12.57,0.3178591328802822,-39.29,12.93,-3.025,-3.189,288,
