id,epoch,dir,entry,exit,pnl,hold,reason,chop,topSameDir,blenderProb,volRegime,slMult,tpMult,ns
32,1787646060,LONG,635.03,635.03,0,0,HORIZON,58.49,2,0.321,high,2.3,0.36000000000000004,0.138
33,1787647260,SHORT,635.93,635.5307,0.0628,3,TP,69.66,3,0.386,extreme,2.7,0.27999999999999997,-0.165
34,1787653260,SHORT,626.95,626.45896,0.0783,1,TP,48.06,1,0.374,high,2.3,0.36000000000000004,-0.341
35,1787654760,SHORT,624.84,624.33385,0.081,1,TP,58.51,2,0.306,high,2.3,0.36000000000000004,-0.199
36,1787657160,SHORT,622.47,621.94886,0.0837,3,TP,60.72,1,0.324,low,1.5,0.44000000000000006,-0.641
37,1787659560,SHORT,615.7,615.18847,0.0831,1,TP,59.72,1,0.31,mid,2,0.4,-0.28
38,1787661360,LONG,616.76,617.2253,0.0754,1,TP,50.79,1,0.336,mid,2,0.4,0.45
39,1787664660,SHORT,609.13,608.67467,0.0748,3,TP,56.34,1,0.395,high,2.3,0.36000000000000004,-0.379
40,1787665860,LONG,608.58,607.04194,-0.2527,2,SL,58.11,2,0.358,low,1.5,0.44000000000000006,0.156
41,1787667060,SHORT,607.55,607.08603,0.0764,1,TP,36.87,2,0.318,low,1.5,0.44000000000000006,-0.149
42,1787668560,SHORT,611.13,611.13,0,0,HORIZON,44.25,4,0.485,mid,2,0.4,-0.128
43,1787668860,LONG,612.44,612.88831,0.0732,1,TP,56.32,2,0.437,low,1.5,0.44000000000000006,0.188
44,1787669160,SHORT,612.29,611.85766,0.0706,1,TP,51.19,2,0.348,mid,2,0.4,-0.103
45,1787670360,SHORT,608.61,608.15181,0.0753,1,TP,44.51,3,0.426,high,2.3,0.36000000000000004,-0.253
46,1787679960,LONG,606.57,606.98905,0.0691,1,TP,44.07,1,0.314,high,2.3,0.36000000000000004,0.264
47,1787681760,LONG,614.14,614.60819,0.0762,5,TP,49.54,2,0.522,mid,2,0.4,0.329
48,1787682060,LONG,615.08,615.53235,0.0735,2,TP,55.71,1,0.357,low,1.5,0.44000000000000006,0.466
49,1787682960,SHORT,616.61,618.87668,-0.3676,1,SL,50.14,2,0.396,mid,2,0.4,-0.317
50,1787683560,SHORT,618.01,617.52711,0.0781,1,TP,53.68,2,0.347,low,1.5,0.44000000000000006,-0.137
51,1787683860,LONG,617.86,618.35075,0.0794,4,TP,54.1,3,0.457,low,1.5,0.44000000000000006,0.247
52,1787686860,LONG,619.26,619.73679,0.077,1,TP,60.66,2,0.351,mid,2,0.4,0.393
53,1787691060,LONG,612.78,613.26392,0.079,1,TP,52.32,1,0.417,low,1.5,0.44000000000000006,0.488
54,1787692560,LONG,619.43,619.86139,0.0696,1,TP,63.53,3,0.411,high,2.3,0.36000000000000004,0.266
55,1787692860,LONG,622.2,622.56744,0.0591,1,TP,53.79,1,0.376,extreme,2.7,0.27999999999999997,0.545
56,1787695560,LONG,621.63,620.05115,-0.254,1,SL,53.16,5,0.746,low,1.5,0.44000000000000006,0.324
57,1787696760,LONG,618.49,618.95935,0.0759,1,TP,67.74,4,0.618,mid,2,0.4,0.186
58,1787700060,SHORT,619.61,619.25567,0.0572,1,TP,40.37,7,0.672,extreme,2.7,0.27999999999999997,-0.118
59,1787702160,LONG,623.8,621.58566,-0.355,3,SL,67.58,1,0.379,mid,2,0.4,0.382
60,1787704560,LONG,621.88,622.34596,0.0749,1,TP,61.28,3,0.536,high,2.3,0.36000000000000004,0.212
61,1787707560,LONG,621.29,621.29,0,0,HORIZON,55.4,2,0.413,low,1.5,0.44000000000000006,0.458
62,1787709360,LONG,623.11,623.58616,0.0764,2,TP,59.06,1,0.321,mid,2,0.4,0.294
63,1787711760,LONG,625.24,625.70498,0.0744,1,TP,58.39,4,0.686,high,2.3,0.36000000000000004,0.592
64,1787713260,LONG,632.03,632.49446,0.0735,3,TP,60.29,2,0.483,mid,2,0.4,0.248
65,1787724360,LONG,618.41,618.86224,0.0731,4,TP,41.67,6,0.689,high,2.3,0.36000000000000004,0.141
66,1787724660,LONG,619.74,620.23057,0.0792,1,TP,58.16,2,0.318,mid,2,0.4,0.218
67,1787728860,LONG,632.34,632.83951,0.079,1,TP,56.76,1,0.319,mid,2,0.4,0.678
68,1787733060,LONG,634.81,634.81,0,0,HORIZON,52.15,2,0.418,high,2.3,0.36000000000000004,0.427
69,1787734860,LONG,632.99,633.45026,0.0727,1,TP,51.31,2,0.336,high,2.3,0.36000000000000004,0.117
70,1787736960,LONG,640.68,641.13746,0.0714,1,TP,60.62,1,0.384,low,1.5,0.44000000000000006,0.122
71,1787740860,LONG,649.86,650.30082,0.0678,1,TP,34.22,2,0.383,low,1.5,0.44000000000000006,0.293
72,1787743260,LONG,654.45,654.93159,0.0736,1,TP,52.02,3,0.434,mid,2,0.4,0.131
73,1787745360,LONG,649.16,646.66111,-0.3849,2,SL,61.52,3,0.393,mid,2,0.4,0.134
74,1787747760,LONG,647.5,647.98126,0.0743,1,TP,50.84,4,0.62,mid,2,0.4,0.116
75,1787749260,SHORT,650.29,649.81241,0.0734,2,TP,45.13,3,0.49,mid,2,0.4,-0.284
76,1787750160,LONG,652.03,652.48384,0.0696,2,TP,44.55,4,0.609,low,1.5,0.44000000000000006,0.375
77,1787751960,SHORT,649.13,648.66566,0.0715,1,TP,58.54,1,0.34,high,2.3,0.36000000000000004,-0.45
78,1787755260,SHORT,644.17,643.67128,0.0774,1,TP,42.34,2,0.492,mid,2,0.4,-0.102
79,1787755860,LONG,641.78,639.41787,-0.3681,4,SL,47.98,4,0.551,mid,2,0.4,0.105
80,1787763360,SHORT,631.26,630.76257,0.0788,1,TP,49.9,1,0.379,mid,2,0.4,-0.363
81,1787771760,SHORT,634.42,633.97416,0.0703,1,TP,65.29,1,0.346,low,1.5,0.44000000000000006,-0.239
82,1787772060,LONG,636.24,634.64188,-0.2512,1,SL,54.33,1,0.483,low,1.5,0.44000000000000006,0.611
83,1787772360,LONG,633.5,633.94069,0.0696,1,TP,52.77,6,0.736,high,2.3,0.36000000000000004,0.172
84,1787776260,SHORT,638.83,638.35314,0.0746,1,TP,57.2,3,0.446,mid,2,0.4,-0.103
85,1787777160,SHORT,639.13,641.63504,-0.3919,2,SL,47.87,6,0.731,mid,2,0.4,-0.132
86,1787782860,LONG,623.94,624.43075,0.0787,2,TP,48.15,4,0.583,low,1.5,0.44000000000000006,0.132
87,1787784660,LONG,622.1,620.35083,-0.2812,1,SL,38.22,4,0.486,low,1.5,0.44000000000000006,0.117
88,1787785560,LONG,617.14,617.64192,0.0813,1,TP,51.47,11,0.854,low,1.5,0.44000000000000006,0.109
89,1787786160,SHORT,615.34,614.83058,0.0828,1,TP,53.53,1,0.338,mid,2,0.4,-0.239
90,1787788260,SHORT,609.39,608.9162,0.0777,1,TP,40.66,2,0.374,mid,2,0.4,-0.302
91,1787791560,LONG,624.07,624.48498,0.0665,1,TP,31.7,3,0.358,extreme,2.7,0.27999999999999997,0.129
92,1787791860,LONG,626.06,626.06,0,0,HORIZON,40.85,2,0.319,high,2.3,0.36000000000000004,0.178
93,1787792760,SHORT,626.03,625.54607,0.0773,1,TP,43.03,2,0.301,high,2.3,0.36000000000000004,-0.113
94,1787793060,LONG,629.44,629.93704,0.079,2,TP,52.89,1,0.376,high,2.3,0.36000000000000004,0.183
95,1787793960,LONG,632.29,632.75923,0.0742,2,TP,49.59,3,0.461,high,2.3,0.36000000000000004,0.143
96,1787794560,LONG,631.5,631.97278,0.0749,2,TP,56.86,2,0.312,high,2.3,0.36000000000000004,0.322
97,1787798160,SHORT,624.97,624.52177,0.0717,1,TP,51.01,1,0.367,low,1.5,0.44000000000000006,-0.159
98,1787799360,LONG,620.96,621.43532,0.0765,1,TP,54.44,3,0.468,mid,2,0.4,0.18
99,1787802960,LONG,630.2,630.6834,0.0767,1,TP,60.92,3,0.438,mid,2,0.4,0.133
100,1787803260,LONG,632.03,629.68843,-0.3705,2,SL,60.13,1,0.449,mid,2,0.4,0.531
101,1787803860,LONG,630.1,628.35986,-0.2762,2,SL,56.71,2,0.301,low,1.5,0.44000000000000006,0.116
102,1787805060,SHORT,622.73,622.22639,0.0809,1,TP,48.89,1,0.336,low,1.5,0.44000000000000006,-0.171
103,1787806860,LONG,614.05,614.55322,0.082,2,TP,48.34,1,0.313,mid,2,0.4,0.199
104,1787807160,SHORT,612.34,611.85471,0.0793,2,TP,49.44,2,0.35,high,2.3,0.36000000000000004,-0.147
105,1787808360,LONG,607.35,607.35,0,0,HORIZON,59.6,3,0.425,high,2.3,0.36000000000000004,0.13
106,1787810160,SHORT,607.66,607.26598,0.0648,1,TP,57.64,2,0.356,extreme,2.7,0.27999999999999997,-0.387
107,1787813160,LONG,618.17,618.55739,0.0627,1,TP,59.78,4,0.575,low,1.5,0.44000000000000006,0.341
108,1787813460,LONG,619.87,620.31271,0.0714,1,TP,60.44,2,0.415,mid,2,0.4,0.186
109,1787820360,LONG,607.11,604.5362,-0.4239,2,SL,40.39,1,0.301,mid,2,0.4,0.402
110,1787820660,LONG,604.88,605.38099,0.0828,1,TP,48.33,3,0.459,mid,2,0.4,0.108
111,1787820960,SHORT,602.28,601.7986,0.0799,1,TP,43.12,1,0.33,mid,2,0.4,-0.414
112,1787821860,SHORT,602.01,603.76034,-0.2907,5,SL,53.14,3,0.459,low,1.5,0.44000000000000006,-0.243
113,1787824260,SHORT,603.57,605.17786,-0.2664,3,SL,48.16,1,0.311,low,1.5,0.44000000000000006,-0.254
114,1787825160,LONG,602.36,602.84321,0.0802,1,TP,52.33,3,0.452,mid,2,0.4,0.104
115,1787825760,SHORT,602.78,602.30257,0.0792,3,TP,61.32,2,0.369,low,1.5,0.44000000000000006,-0.378
116,1787831760,LONG,597.62,598.07378,0.0759,1,TP,53.04,4,0.537,low,1.5,0.44000000000000006,0.166
117,1787832660,LONG,596.42,596.88317,0.0777,4,TP,46.82,2,0.398,low,1.5,0.44000000000000006,0.344
118,1787834460,LONG,605.34,605.74324,0.0666,1,TP,34.2,3,0.564,low,1.5,0.44000000000000006,0.138
119,1787834760,LONG,605.51,604.08534,-0.2353,2,SL,55.66,3,0.651,low,1.5,0.44000000000000006,0.318
120,1787839260,LONG,611.63,608.90705,-0.4452,4,SL,39.39,2,0.418,high,2.3,0.36000000000000004,0.383
121,1787839560,LONG,609.18,606.51124,-0.4381,1,SL,43.01,4,0.526,high,2.3,0.36000000000000004,0.101
122,1787841660,LONG,612.49,612.85477,0.0596,2,TP,47.72,2,0.397,extreme,2.7,0.27999999999999997,0.296
123,1787850060,LONG,621.84,622.29856,0.0737,2,TP,64.8,2,0.364,mid,2,0.4,0.363
124,1787852460,LONG,620.68,620.68,0,0,HORIZON,51.07,1,0.321,mid,2,0.4,0.241
125,1787854260,SHORT,617.25,616.79577,0.0736,1,TP,55.28,1,0.348,high,2.3,0.36000000000000004,-0.268
126,1787859060,SHORT,620.26,619.8032,0.0736,2,TP,52.59,1,0.344,high,2.3,0.36000000000000004,-0.511
127,1787859660,LONG,618.71,617.18313,-0.2468,2,SL,46.12,6,0.742,low,1.5,0.44000000000000006,0.147
128,1787862960,SHORT,607.21,606.77236,0.0721,1,TP,52.15,1,0.321,high,2.3,0.36000000000000004,-0.154
129,1787863560,LONG,607.09,607.53741,0.0737,3,TP,67.46,1,0.318,low,1.5,0.44000000000000006,0.495
