id,epoch,dir,entry,exit,pnl,hold,reason,votes,ns,confDir
32,1787587560,SHORT,99.7107,99.7764,-0.0659,3,SL,195,-0.765,HOLD
33,1787587860,SHORT,99.6052,99.66886,-0.0639,1,SL,200,-20.031,SELL
34,1787588160,LONG,99.6181,99.55774,-0.0606,1,SL,200,1.996,HOLD
35,1787588460,LONG,99.7557,99.69158,-0.0643,2,SL,191,21.686,BUY
36,1787588760,LONG,99.876,100.00672,0.1309,1,TP,188,21.883,BUY
37,1787589060,LONG,99.9786,99.91806,-0.0606,1,SL,191,16.817,HOLD
38,1787589360,LONG,100.0176,99.95186,-0.0657,1,SL,199,3.214,HOLD
39,1787589660,SHORT,99.9541,100.00989,-0.0558,2,SL,211,-14.149,HOLD
40,1787589960,LONG,100.0009,100.0009,0,0,HORIZON,213,3.81,HOLD
41,1787590260,LONG,100.0071,100.10563,0.0985,1,TP,179,2.441,HOLD
42,1787590560,LONG,99.933,100.07221,0.1393,5,TP,200,0.269,HOLD
43,1787590860,LONG,100.0356,99.97755,-0.058,1,SL,192,10.65,HOLD
44,1787591160,LONG,100.1048,100.24209,0.1371,5,TP,185,10.69,HOLD
45,1787591460,LONG,100.3303,100.3303,0,0,HORIZON,194,26.92,HOLD
46,1787591760,LONG,100.3078,100.24559,-0.062,2,SL,195,1.318,HOLD
47,1787592060,SHORT,99.9058,99.9701,-0.0644,2,SL,196,-28.873,SELL
48,1787592360,SHORT,99.9494,99.82,0.1295,1,TP,197,-14.662,SELL
49,1787592660,SHORT,99.6218,99.68307,-0.0615,1,SL,184,-17.022,SELL
50,1787592960,SHORT,99.7507,99.81069,-0.0601,4,SL,198,-1.01,HOLD
51,1787593260,LONG,99.7872,99.90054,0.1136,3,TP,202,9.533,BUY
52,1787593560,LONG,99.833,99.833,0,0,HORIZON,180,5.118,BUY
53,1787593860,LONG,99.8734,99.99971,0.1265,3,TP,180,12.235,BUY
54,1787594160,LONG,99.9993,100.12603,0.1267,5,TP,193,12.144,BUY
55,1787594460,LONG,100.1174,100.06113,-0.0562,1,SL,198,7.611,HOLD
56,1787594760,SHORT,99.8214,99.88061,-0.0593,3,SL,209,-26.546,SELL
57,1787595060,LONG,100.0072,99.95021,-0.057,1,SL,200,8.239,BUY
58,1787595360,SHORT,99.5819,99.64339,-0.0617,5,SL,191,-11.407,SELL
59,1787595660,SHORT,99.661,99.71733,-0.0565,1,SL,194,-2.526,HOLD
60,1787595960,SHORT,99.5714,99.63986,-0.0688,3,SL,181,-4.602,SELL
61,1787596260,LONG,99.7768,99.71479,-0.0621,4,SL,214,34.998,BUY
62,1787596560,LONG,99.7576,99.70064,-0.0571,1,SL,213,18.964,BUY
63,1787596860,SHORT,99.7203,99.77456,-0.0544,3,SL,189,-11.677,SELL
64,1787597160,SHORT,99.6514,99.70156,-0.0503,2,SL,212,-34.097,SELL
65,1787597460,SHORT,99.7141,99.60242,0.112,1,TP,208,-5.993,SELL
66,1787597760,SHORT,99.4064,99.46667,-0.0606,1,SL,195,-2.945,HOLD
67,1787598060,SHORT,99.3887,99.44223,-0.0539,1,SL,192,-4.026,HOLD
68,1787598360,LONG,99.5486,99.67839,0.1304,3,TP,206,27.11,BUY
69,1787598660,LONG,99.5786,99.52069,-0.0582,1,SL,200,29.483,BUY
70,1787598960,LONG,99.7589,99.70009,-0.0589,1,SL,191,21.459,BUY
71,1787599260,LONG,99.8856,100.0135,0.128,2,TP,199,13.98,BUY
72,1787599560,LONG,99.9528,99.89616,-0.0567,1,SL,189,9.085,BUY
73,1787599860,SHORT,99.6279,99.68491,-0.0572,1,SL,191,-15.84,SELL
74,1787600160,LONG,99.8218,99.95508,0.1335,4,TP,188,11.232,BUY
75,1787600460,LONG,100.0973,100.03313,-0.0641,1,SL,197,15.654,HOLD
76,1787600760,LONG,100.191,100.12844,-0.0624,3,SL,193,12.998,HOLD
77,1787601060,SHORT,100.1561,100.21667,-0.0605,1,SL,191,-0.921,HOLD
78,1787601360,LONG,100.2682,100.21134,-0.0567,1,SL,197,13.18,HOLD
79,1787601660,SHORT,100.1087,100.167,-0.0582,5,SL,225,-36.358,SELL
80,1787601960,SHORT,100.1503,100.20059,-0.0502,1,SL,214,-19.247,HOLD
81,1787602260,SHORT,100.04,100.09894,-0.0589,1,SL,217,-37.684,SELL
82,1787602560,LONG,100.3652,100.30734,-0.0577,3,SL,228,9.757,HOLD
83,1787602860,LONG,100.4107,100.52173,0.1106,4,TP,211,19.996,HOLD
84,1787603160,LONG,100.4786,100.42289,-0.0554,5,SL,214,26.135,HOLD
85,1787603460,LONG,100.3586,100.47494,0.1159,3,TP,215,7.93,HOLD
86,1787603760,LONG,100.573,100.51527,-0.0574,1,SL,187,19.666,HOLD
87,1787604060,LONG,100.6274,100.56667,-0.0603,1,SL,199,5.833,HOLD
88,1787604360,SHORT,100.5598,100.42956,0.1295,1,TP,203,-9.125,HOLD
89,1787604660,SHORT,100.4052,100.46517,-0.0597,1,SL,199,-1.064,HOLD
90,1787604960,LONG,100.6134,100.74543,0.1312,3,TP,194,23.681,HOLD
91,1787605260,LONG,101.0448,101.1949,0.1485,4,TP,203,35.394,HOLD
92,1787605560,LONG,101.381,101.53772,0.1546,4,TP,204,40.405,HOLD
93,1787605860,LONG,101.5095,101.5095,0,0,HORIZON,209,33.804,HOLD
94,1787606160,LONG,101.4733,101.4733,0,0,HORIZON,209,13.165,HOLD
95,1787606460,LONG,101.5198,101.64811,0.1264,3,TP,198,7.092,HOLD
96,1787606760,LONG,101.5094,101.64219,0.1308,2,TP,185,8.157,HOLD
97,1787607060,SHORT,101.4722,101.34477,0.1256,2,TP,185,-2.907,HOLD
98,1787607360,LONG,101.4433,101.57374,0.1286,4,TP,183,2.851,HOLD
99,1787607660,LONG,101.4236,101.36397,-0.0588,1,SL,188,10.501,HOLD
100,1787607960,LONG,101.4889,101.61696,0.1262,3,TP,195,22.656,HOLD
101,1787608260,LONG,101.7282,101.7282,0,0,HORIZON,214,44.309,HOLD
102,1787608560,LONG,101.7473,101.85971,0.1105,4,TP,217,30.005,HOLD
103,1787608860,LONG,101.7937,101.74671,-0.0462,2,SL,200,6.443,HOLD
104,1787609160,LONG,101.7146,101.65739,-0.0562,1,SL,202,18.768,HOLD
105,1787609460,SHORT,101.6744,101.5581,0.1144,4,TP,196,-12.784,HOLD
106,1787609760,SHORT,101.5277,101.4167,0.1093,2,TP,188,-12.6,HOLD
107,1787610060,SHORT,101.2064,101.26038,-0.0533,2,SL,194,-16.494,HOLD
108,1787610360,SHORT,101.1754,101.22491,-0.0489,1,SL,189,-14.049,HOLD
109,1787610660,LONG,101.2658,101.21019,-0.0549,2,SL,200,10.37,HOLD
110,1787610960,SHORT,101.1453,101.19944,-0.0535,1,SL,207,-9.143,HOLD
111,1787611260,LONG,101.2298,101.17671,-0.0524,1,SL,209,17.833,HOLD
112,1787611560,LONG,101.1221,101.06424,-0.0572,2,SL,214,12.688,HOLD
113,1787611860,SHORT,100.9906,101.04697,-0.0558,1,SL,209,-3.041,HOLD
114,1787612160,LONG,101.1609,101.10038,-0.0598,1,SL,213,23.622,HOLD
115,1787612460,LONG,101.2962,101.23656,-0.0589,4,SL,201,25.294,HOLD
116,1787612760,SHORT,101.1385,101.19757,-0.0584,1,SL,197,-3.333,HOLD
117,1787613060,LONG,101.2302,101.16733,-0.0621,4,SL,187,9.663,HOLD
118,1787613360,SHORT,101.1614,101.21257,-0.0506,1,SL,181,-8.31,HOLD
119,1787613660,SHORT,101.1432,101.19752,-0.0537,1,SL,180,-14.076,HOLD
120,1787613960,SHORT,101.108,101.16688,-0.0582,1,SL,180,-13.34,SELL
121,1787614260,SHORT,101.1061,101.16027,-0.0536,1,SL,186,-5.089,SELL
122,1787614560,SHORT,101.1312,101.18771,-0.0559,4,SL,194,-22.147,SELL
123,1787614860,SHORT,101.1647,101.22253,-0.0572,2,SL,193,-1.977,HOLD
124,1787615160,LONG,101.3574,101.3574,0,0,HORIZON,200,18.804,HOLD
125,1787615460,LONG,101.3403,101.28074,-0.0588,2,SL,192,1.046,HOLD
126,1787615760,SHORT,101.18,101.23098,-0.0504,4,SL,192,-20.782,SELL
127,1787616060,SHORT,101.1496,101.04653,0.1019,2,TP,195,-29.066,SELL
128,1787616360,SHORT,101.0765,101.13083,-0.0537,1,SL,181,-15.117,SELL
129,1787616660,LONG,101.1073,101.05654,-0.0502,1,SL,187,2.446,HOLD
130,1787616960,SHORT,100.8794,100.93261,-0.0527,4,SL,197,-13.398,SELL
131,1787617260,SHORT,100.9443,100.99846,-0.0537,1,SL,193,-1.383,HOLD
132,1787617560,LONG,101.2388,101.36427,0.1239,4,TP,195,23.627,BUY
133,1787617860,LONG,101.4869,101.42153,-0.0644,3,SL,196,31.002,HOLD
134,1787618160,LONG,101.5004,101.43541,-0.064,1,SL,213,33.206,HOLD
135,1787618460,SHORT,101.1366,101.20279,-0.0654,1,SL,187,-7.364,SELL
136,1787618760,SHORT,101.1594,101.2181,-0.058,1,SL,190,-3.11,HOLD
137,1787619060,SHORT,100.823,100.88245,-0.059,1,SL,184,-17.829,HOLD
138,1787619360,SHORT,100.9347,100.81873,0.1149,3,TP,187,-4.481,HOLD
139,1787619660,SHORT,100.9176,100.97243,-0.0543,3,SL,184,-12.475,HOLD
140,1787619960,LONG,100.9668,100.90704,-0.0592,1,SL,180,4.847,BUY
141,1787620260,LONG,100.9706,100.91723,-0.0529,1,SL,186,0.92,HOLD
142,1787620560,SHORT,100.6708,100.72166,-0.0505,2,SL,187,-19.548,HOLD
143,1787620860,LONG,100.8474,100.96442,0.116,4,TP,189,13.433,HOLD
144,1787621160,LONG,100.9763,100.92143,-0.0543,1,SL,184,15.65,HOLD
145,1787621460,SHORT,100.8155,100.87403,-0.0581,5,SL,188,-18.037,HOLD
146,1787621760,LONG,100.9479,101.07171,0.1227,1,TP,207,21.985,HOLD
147,1787622060,LONG,101.0031,100.94075,-0.0617,3,SL,185,8.643,BUY
148,1787622360,SHORT,100.9802,100.8493,0.1296,1,TP,188,-2.019,HOLD
149,1787622660,SHORT,100.6629,100.72426,-0.061,1,SL,185,-19.148,HOLD
150,1787622960,SHORT,100.6786,100.7328,-0.0538,2,SL,194,-4.692,HOLD
151,1787623260,LONG,100.8049,100.74525,-0.0592,2,SL,178,2.301,HOLD
152,1787623560,SHORT,100.6151,100.6725,-0.0571,2,SL,201,-29.524,HOLD
153,1787623860,LONG,100.8059,100.92929,0.1224,3,TP,204,10.518,HOLD
154,1787624160,LONG,101.0505,100.99362,-0.0563,5,SL,210,23.847,BUY
155,1787624460,LONG,101.0255,100.97127,-0.0537,2,SL,201,17.124,BUY
156,1787624760,LONG,101.0768,101.02289,-0.0533,1,SL,187,18.223,BUY
157,1787625060,SHORT,100.9078,100.96133,-0.053,1,SL,186,-11.009,SELL
158,1787625360,LONG,101.0921,101.03778,-0.0537,2,SL,197,30.177,BUY
159,1787625660,LONG,101.2672,101.19747,-0.0689,3,SL,207,7.319,HOLD
160,1787625960,SHORT,101.0781,101.14295,-0.0642,1,SL,189,-6.163,SELL
161,1787626260,LONG,101.4271,101.35488,-0.0712,1,SL,207,17.451,HOLD
162,1787626560,SHORT,101.3042,101.36479,-0.0598,1,SL,202,-0.422,HOLD
163,1787626860,LONG,101.3387,101.28017,-0.0578,1,SL,185,18.733,HOLD
164,1787627160,LONG,101.2576,101.20031,-0.0566,1,SL,192,11.983,BUY
165,1787627460,LONG,101.3483,101.29053,-0.057,1,SL,195,27.721,HOLD
166,1787627760,SHORT,101.2495,101.13075,0.1173,1,TP,193,-2.709,HOLD
167,1787628060,SHORT,100.9896,100.85961,0.1287,2,TP,198,-22.135,SELL
168,1787628360,SHORT,100.6539,100.71499,-0.0607,1,SL,207,-28.328,HOLD
169,1787628660,SHORT,100.5603,100.61571,-0.0551,1,SL,208,-25.96,HOLD
170,1787628960,SHORT,100.5443,100.59891,-0.0543,1,SL,213,-21.624,HOLD
171,1787629260,SHORT,100.7122,100.58152,0.1298,3,TP,228,-9.011,HOLD
172,1787629560,LONG,100.7431,100.68316,-0.0595,2,SL,205,18.36,HOLD
173,1787629860,SHORT,100.5503,100.60394,-0.0533,1,SL,206,-28.441,HOLD
174,1787630160,LONG,100.6264,100.56172,-0.0643,1,SL,200,5.78,HOLD
175,1787630460,SHORT,100.3406,100.18411,0.156,3,TP,217,-10.425,HOLD
176,1787630760,SHORT,100.396,100.25336,0.1421,3,TP,211,-3.027,HOLD
177,1787631060,SHORT,100.3036,100.3713,-0.0675,1,SL,192,-4.764,HOLD
178,1787631360,SHORT,100.1775,100.24193,-0.0643,3,SL,208,-8.906,HOLD
179,1787631660,LONG,100.1276,100.06995,-0.0576,1,SL,208,0.377,HOLD
180,1787631960,LONG,99.934,100.0592,0.1253,5,TP,212,3.349,HOLD
181,1787632260,LONG,100.0748,100.02538,-0.0494,2,SL,192,10.861,HOLD
182,1787632560,SHORT,99.9318,99.98586,-0.0541,1,SL,203,-2.758,HOLD
183,1787632860,LONG,100.0803,100.01826,-0.062,2,SL,207,29.199,HOLD
184,1787633160,LONG,100.0813,100.02627,-0.055,5,SL,198,15.279,HOLD
185,1787633460,SHORT,100.0398,100.0899,-0.0501,2,SL,192,-10.391,HOLD
186,1787633760,SHORT,99.946,100.00092,-0.0549,1,SL,200,-26.26,HOLD
187,1787634060,SHORT,99.8336,99.8336,0,0,HORIZON,201,-23.633,HOLD
188,1787634360,SHORT,99.7451,99.79198,-0.047,3,SL,202,-25.941,HOLD
189,1787634660,LONG,99.9247,99.87914,-0.0456,2,SL,207,13.913,HOLD
190,1787634960,LONG,100.0886,100.19268,0.104,2,TP,204,26.341,HOLD
191,1787635260,LONG,100.1861,100.12913,-0.0569,1,SL,201,20.017,HOLD
192,1787635560,LONG,100.0964,100.22427,0.1277,1,TP,206,14.66,HOLD
193,1787635860,LONG,100.31,100.24828,-0.0615,1,SL,192,15.06,HOLD
194,1787636160,LONG,100.2882,100.22176,-0.0662,2,SL,211,15.031,HOLD
195,1787636460,SHORT,100.0682,99.9413,0.1268,1,TP,199,-4.271,HOLD
196,1787636760,SHORT,99.7309,99.79474,-0.064,2,SL,194,-6.713,HOLD
197,1787637060,SHORT,99.7312,99.58498,0.1466,5,TP,195,-1.295,HOLD
198,1787637360,SHORT,99.5072,99.57064,-0.0638,2,SL,200,-12.752,HOLD
199,1787637660,SHORT,99.4347,99.49943,-0.0651,2,SL,194,-14.873,HOLD
200,1787637960,LONG,99.573,99.69578,0.1233,3,TP,211,20.118,HOLD
201,1787638260,LONG,99.8692,99.99866,0.1296,4,TP,210,37.716,HOLD
202,1787638560,LONG,99.8287,99.77344,-0.0554,3,SL,208,24.608,HOLD
203,1787638860,SHORT,99.5663,99.43261,0.1343,5,TP,208,-2.297,HOLD
204,1787639160,SHORT,99.4255,99.47574,-0.0505,2,SL,196,-14.397,HOLD
205,1787639460,LONG,99.6181,99.73081,0.1131,2,TP,207,31.498,HOLD
206,1787639760,LONG,99.7711,99.7195,-0.0517,3,SL,204,32.375,HOLD
207,1787640060,LONG,99.6435,99.76464,0.1216,2,TP,213,6.723,HOLD
208,1787640360,SHORT,99.8034,99.66328,0.1404,3,TP,210,-3.43,HOLD
209,1787640660,SHORT,99.5678,99.64519,-0.0777,1,SL,202,-28.034,HOLD
210,1787640960,SHORT,99.5216,99.5216,0,0,HORIZON,211,-16.564,HOLD
211,1787641260,SHORT,99.4962,99.36123,0.1356,3,TP,185,-7.814,HOLD
212,1787641560,LONG,99.6086,99.54061,-0.0683,2,SL,209,21.633,HOLD
213,1787641860,LONG,99.8655,99.79653,-0.0691,1,SL,206,32.459,BUY
214,1787642160,LONG,99.6534,99.58527,-0.0684,2,SL,205,13.295,HOLD
215,1787642460,LONG,99.7557,99.88977,0.1344,2,TP,182,15.084,HOLD
216,1787642760,SHORT,99.7654,99.62955,0.1362,3,TP,193,-2.318,HOLD
217,1787643060,SHORT,99.5334,99.59181,-0.0587,2,SL,218,-42.56,HOLD
218,1787643360,SHORT,99.5809,99.63128,-0.0506,1,SL,215,-22.145,HOLD
219,1787643660,LONG,99.6764,99.62326,-0.0533,2,SL,182,11.701,HOLD
220,1787643960,SHORT,99.5285,99.39519,0.1339,3,TP,191,-5.793,HOLD
221,1787644260,SHORT,99.5228,99.58054,-0.058,2,SL,190,-2.048,HOLD
222,1787644560,LONG,99.6803,99.62368,-0.0568,2,SL,200,24.895,BUY
223,1787644860,SHORT,99.5524,99.43412,0.1188,1,TP,204,-12.858,HOLD
224,1787645160,LONG,99.6726,99.61195,-0.0609,1,SL,188,14.376,BUY
225,1787645460,SHORT,99.455,99.455,0,0,HORIZON,184,-19.05,HOLD
226,1787645760,LONG,99.4024,99.34173,-0.061,2,SL,201,2.273,HOLD
227,1787646060,SHORT,99.3064,99.36351,-0.0575,2,SL,194,-4.724,HOLD
228,1787646360,LONG,99.5094,99.4547,-0.055,2,SL,196,18.711,HOLD
229,1787646660,SHORT,99.383,99.43981,-0.0572,1,SL,181,-8.483,HOLD
230,1787646960,SHORT,99.3972,99.26543,0.1326,2,TP,184,-6.557,HOLD
231,1787647260,SHORT,99.227,99.07575,0.1524,3,TP,205,-7.603,HOLD
232,1787647560,LONG,99.1532,99.28121,0.1291,3,TP,203,0.753,HOLD
233,1787647860,LONG,99.3736,99.31263,-0.0614,4,SL,201,18.917,HOLD
234,1787648160,SHORT,99.2222,99.10602,0.1171,5,TP,203,-7.451,HOLD
235,1787648460,SHORT,99.068,99.12404,-0.0566,1,SL,210,-19.196,HOLD
236,1787648760,SHORT,99.1075,99.1719,-0.065,1,SL,209,-4.26,HOLD
237,1787649060,LONG,99.1852,99.12258,-0.0631,2,SL,193,10.591,HOLD
238,1787649360,SHORT,99.204,99.26054,-0.057,1,SL,207,-11.717,HOLD
239,1787649660,LONG,99.5366,99.66295,0.1269,4,TP,199,5.325,HOLD
240,1787649960,LONG,99.5019,99.44271,-0.0595,1,SL,202,1.929,HOLD
241,1787650260,SHORT,99.1913,99.1913,0,0,HORIZON,191,-17.919,HOLD
242,1787650560,SHORT,99.1903,99.24928,-0.0595,2,SL,195,-18.158,HOLD
243,1787650860,LONG,99.2735,99.2163,-0.0576,4,SL,212,23.708,HOLD
244,1787651160,SHORT,99.1512,99.04268,0.1094,1,TP,185,-18.291,HOLD
245,1787651460,SHORT,99.0687,99.1349,-0.0668,3,SL,188,-22.894,HOLD
246,1787651760,LONG,99.5291,99.45303,-0.0764,2,SL,207,38.019,BUY
247,1787652060,LONG,99.6269,99.55477,-0.0724,3,SL,205,33.091,BUY
248,1787652360,LONG,99.4867,99.4867,0,0,HORIZON,209,20.888,BUY
249,1787652660,LONG,99.5716,99.51629,-0.0555,1,SL,205,20.559,BUY
250,1787652960,SHORT,99.3578,99.42036,-0.063,1,SL,182,-7.755,SELL
251,1787653260,LONG,99.5679,99.69344,0.1261,4,TP,196,27.808,BUY
252,1787653560,LONG,99.7888,99.73213,-0.0568,1,SL,203,32.24,HOLD
253,1787653860,LONG,99.9793,100.09835,0.1191,2,TP,206,37.551,HOLD
254,1787654160,LONG,100.1088,100.05029,-0.0585,1,SL,205,35.881,HOLD
255,1787654460,LONG,100.1687,100.2968,0.1279,2,TP,202,7.507,HOLD
256,1787654760,LONG,100.4124,100.53484,0.1219,2,TP,209,4.082,HOLD
257,1787655060,LONG,100.6408,100.77861,0.1369,3,TP,193,18.361,HOLD
258,1787655360,LONG,100.9639,100.90141,-0.0619,1,SL,198,22.185,HOLD
259,1787655660,LONG,100.9666,100.90613,-0.0599,1,SL,201,2.007,HOLD
260,1787655960,SHORT,100.9265,100.98496,-0.0579,1,SL,207,-8.93,HOLD
261,1787656260,SHORT,101.0074,101.07092,-0.0629,2,SL,206,-1.393,HOLD
262,1787656560,LONG,101.108,101.24321,0.1337,1,TP,185,22.418,HOLD
263,1787656860,LONG,101.3605,101.30277,-0.057,2,SL,189,25.567,HOLD
264,1787657160,SHORT,101.2528,101.31339,-0.0598,3,SL,201,-0.966,HOLD
265,1787657460,LONG,101.3311,101.274,-0.0564,1,SL,204,0.091,HOLD
266,1787657760,SHORT,101.196,101.24941,-0.0528,2,SL,183,-9.788,HOLD
267,1787658060,LONG,101.2582,101.19883,-0.0586,1,SL,179,4.625,HOLD
268,1787658360,LONG,101.3724,101.3724,0,0,HORIZON,198,24.511,HOLD
269,1787658660,LONG,101.4345,101.37495,-0.0587,1,SL,208,13.89,HOLD
270,1787658960,SHORT,101.1879,101.1879,0,0,HORIZON,182,-15.653,HOLD
271,1787659260,SHORT,101.176,101.22936,-0.0527,1,SL,181,-10.583,HOLD
272,1787659560,LONG,101.2182,101.1648,-0.0528,1,SL,195,11.334,HOLD
273,1787659860,SHORT,100.912,100.78393,0.1269,5,TP,209,-19.334,HOLD
274,1787660160,SHORT,100.8738,100.74773,0.125,5,TP,210,-21.354,HOLD
275,1787660460,SHORT,100.7823,100.83665,-0.0539,1,SL,190,-14.522,HOLD
276,1787660760,SHORT,100.7327,100.79128,-0.0582,2,SL,226,-32.848,HOLD
277,1787661060,LONG,100.9465,100.88642,-0.0595,1,SL,217,27.173,HOLD
278,1787661360,LONG,100.8145,100.75321,-0.0608,1,SL,210,6.557,HOLD
279,1787661660,LONG,101.007,100.9476,-0.0588,2,SL,188,16.86,HOLD
280,1787661960,SHORT,100.9276,100.9276,0,0,HORIZON,202,-3.629,HOLD
281,1787662260,SHORT,100.8184,100.87329,-0.0544,1,SL,211,-34.948,HOLD
282,1787662560,SHORT,100.7867,100.84164,-0.0545,2,SL,206,-1.373,HOLD
283,1787662860,SHORT,100.6699,100.72399,-0.0537,1,SL,203,-4.181,HOLD
284,1787663160,SHORT,100.73,100.78748,-0.0571,1,SL,188,-6.797,HOLD
285,1787663460,LONG,100.7872,100.72267,-0.064,1,SL,195,7.491,HOLD
286,1787663760,SHORT,100.7031,100.76227,-0.0588,1,SL,181,-9.627,HOLD
287,1787664060,LONG,100.9532,101.09045,0.1359,2,TP,196,3.077,HOLD
288,1787664360,LONG,101.1452,101.08699,-0.0576,3,SL,201,7.184,HOLD
289,1787664660,LONG,101.1845,101.13323,-0.0507,1,SL,202,6.58,HOLD
290,1787664960,LONG,101.2615,101.21127,-0.0496,2,SL,199,9.595,HOLD
291,1787665260,SHORT,101.084,101.13537,-0.0508,1,SL,201,-21.546,HOLD
292,1787665560,LONG,101.2962,101.2284,-0.0669,2,SL,186,22.643,HOLD
293,1787665860,LONG,101.4564,101.4564,0,0,HORIZON,188,22.441,HOLD
294,1787666160,LONG,101.4555,101.39699,-0.0577,2,SL,191,6.98,HOLD
295,1787666460,LONG,101.5522,101.49157,-0.0597,2,SL,187,18.393,HOLD
296,1787666760,SHORT,101.2832,101.15229,0.1293,2,TP,212,-37.001,HOLD
297,1787667060,SHORT,101.0965,101.15068,-0.0536,1,SL,217,-43.816,HOLD
298,1787667360,SHORT,100.9301,100.81862,0.1105,1,TP,223,-48.379,SELL
299,1787667660,SHORT,100.6917,100.56397,0.1269,2,TP,213,-41.162,SELL
300,1787667960,SHORT,100.4257,100.48246,-0.0565,1,SL,219,-38.675,HOLD
301,1787668260,SHORT,100.6554,100.72179,-0.066,1,SL,206,-11.452,SELL
302,1787668560,LONG,100.7489,100.89618,0.1462,3,TP,187,8.339,BUY
303,1787668860,LONG,100.8115,100.75271,-0.0583,1,SL,195,6.149,BUY
304,1787669160,SHORT,100.721,100.60276,0.1174,3,TP,189,-9.085,SELL
305,1787669460,SHORT,100.6702,100.72865,-0.0581,1,SL,194,-18.385,HOLD
306,1787669760,SHORT,100.5626,100.61968,-0.0568,1,SL,195,-5.313,HOLD
307,1787670060,LONG,100.7255,100.66628,-0.0588,1,SL,182,8.18,BUY
308,1787670360,SHORT,100.5946,100.65248,-0.0575,2,SL,180,-11.394,HOLD
309,1787670660,SHORT,100.3323,100.3323,0,0,HORIZON,189,-20.781,HOLD
310,1787670960,SHORT,100.2654,100.31673,-0.0512,2,SL,193,-7.742,HOLD
311,1787671260,LONG,100.3496,100.29717,-0.0523,1,SL,194,1.987,HOLD
312,1787671560,SHORT,99.9968,99.9968,0,0,HORIZON,232,-35.408,HOLD
313,1787671860,SHORT,99.8888,99.94672,-0.058,3,SL,221,-32.201,HOLD
314,1787672160,SHORT,99.9912,100.04594,-0.0547,2,SL,217,-9.946,HOLD
315,1787672460,LONG,100.1111,100.05918,-0.0519,1,SL,200,21.036,HOLD
316,1787672760,SHORT,100.0746,100.1273,-0.0527,2,SL,210,-6.409,HOLD
317,1787673060,LONG,100.1459,100.10024,-0.0456,1,SL,196,3.948,HOLD
318,1787673360,SHORT,100.032,99.91819,0.1138,1,TP,207,-23.186,HOLD
319,1787673660,SHORT,99.7894,99.84901,-0.0597,1,SL,204,-21.802,HOLD
320,1787673960,SHORT,99.6745,99.72964,-0.0553,2,SL,199,-14.885,HOLD
321,1787674260,SHORT,99.6563,99.55138,0.1053,2,TP,195,-6.069,HOLD
322,1787674560,SHORT,99.5021,99.55337,-0.0515,1,SL,198,-4.197,HOLD
